"","아파트명","도로명주소","geometry","near_station","nearest_station","nearest_distance"
"52","삼익","서울특별시 강남구 논현로 218",c(127.0422783, 37.49080422),FALSE,"매봉",578.927494481626
"53","현대휴먼터치빌","서울특별시 강남구 논현로 565",c(127.0337434, 37.50650138),TRUE,"언주",80.9466130429734
"54","KIRIN HILLS","서울특별시 강남구 논현로 661",c(127.0308627, 37.51292727),FALSE,"언주",688.50895454021
"55","개포 래미안 포레스트","서울특별시 강남구 개포로 264",c(127.054344, 37.47839327),FALSE,"매봉",1170.87545559367
"56","현대1차101동~106동","서울특별시 강남구 개포로 303",c(127.0544743, 37.4826201),FALSE,"매봉",833.980090982335
"57","개포우성3차","서울특별시 강남구 개포로 307",c(127.0560187, 37.4839645),FALSE,"도곡",797.172260783967
"58","우성9차아파트 901동, 902동","서울특별시 강남구 개포로 311",c(127.0572773, 37.48475903),FALSE,"도곡",721.953883782284
"59","상지리츠빌","서울특별시 강남구 개포로 405",c(127.0602818, 37.48717704),FALSE,"도곡",597.456057154039
"60","현대3","서울특별시 강남구 개포로 409",c(127.0608554, 37.48783257),FALSE,"도곡",584.580428544842
"61","우성8","서울특별시 강남구 개포로 411",c(127.0624465, 37.48814259),FALSE,"도곡",682.065067503874
"62","개포주공 6단지","서울특별시 강남구 개포로 516",c(127.0715211, 37.48904408),FALSE,"학여울",861.986964418097
"63","개포주공 7단지","서울특별시 강남구 개포로 516",c(127.0715211, 37.48904408),FALSE,"학여울",861.986964418097
"64","탄천직원아파트","서울특별시 강남구 개포로 625",c(127.082691, 37.49776226),FALSE,"학여울",1077.68864059748
"65","논현동역세권청년임대주택","서울특별시 강남구 봉은사로 125",c(127.0274517, 37.50575571),FALSE,"신논현",304.831483214518
"66","역삼동하나빌","서울특별시 강남구 봉은사로 312",c(127.0412897, 37.50923041),FALSE,"언주",689.927980780769
"67","삼성동신영지웰","서울특별시 강남구 봉은사로 448",c(127.0488352, 37.51145641),FALSE,"선릉",802.660858662638
"68","쌍용플래티넘","서울특별시 강남구 봉은사로 474",c(127.0520654, 37.51244477),FALSE,"선릉",972.99583137429
"69","포스코트","서울특별시 강남구 봉은사로 510",c(127.0549717, 37.51305971),FALSE,"삼성",865.241761988441
"70","미켈란147","서울특별시 강남구 봉은사로 516",c(127.0559397, 37.51317205),FALSE,"삼성",802.413521612373
"71","삼성동라테라스","서울특별시 강남구 봉은사로 645",c(127.0658223, 37.51558927),FALSE,"삼성",786.622579022226
"72","디에이치아너힐즈","서울특별시 강남구 삼성로 11",c(127.0673202, 37.48404645),FALSE,"대치",1222.30515427362
"73","한보미도맨션","서울특별시 강남구 삼성로 150",c(127.0671586, 37.49349848),FALSE,"대치",349.483891931075
"74","선경1,2차","서울특별시 강남구 삼성로 151",c(127.0622533, 37.49229954),FALSE,"대치",276.800809583143
"75","은마","서울특별시 강남구 삼성로 212",c(127.0653334, 37.4974614),FALSE,"대치",358.888728853422
"76","포스코더샵","서울특별시 강남구 삼성로 417",c(127.0570661, 37.50400475),FALSE,"삼성",761.946564723727
"77","채널리저브","서울특별시 강남구 삼성로 517",c(127.0553957, 37.50800295),FALSE,"삼성",694.728241825809
"78","삼성동센트럴아이파크","서울특별시 강남구 삼성로 629",c(127.0511229, 37.51541341),FALSE,"선릉",1267.5139014763
"79","상지리츠빌카일룸(65-4)","서울특별시 강남구 삼성로 636",c(127.0516938, 37.51682413),FALSE,"삼성",1349.53518877844
"80","래미안라클래시","서울특별시 강남구 삼성로 651",c(127.0499783, 37.51750819),FALSE,"선릉",1482.03707827851
"81","래미안블레스티지","서울특별시 강남구 선릉로 8",c(127.0647382, 37.48135783),FALSE,"도곡",1348.07215224272
"82","개포우성1","서울특별시 강남구 선릉로 120",c(127.0599769, 37.49112153),FALSE,"도곡",377.870424747655
"83","개포우성2","서울특별시 강남구 선릉로 120",c(127.0574487, 37.49087408),TRUE,"도곡",157.386664276778
"84","동부센트레빌","서울특별시 강남구 선릉로 206",c(127.05571, 37.49279922),TRUE,"도곡",185.72564655215
"85","도곡렉슬","서울특별시 강남구 선릉로 221",c(127.0506687, 37.49353526),FALSE,"도곡",517.842559838679
"86","대치아이파크","서울특별시 강남구 선릉로 222",c(127.0546229, 37.49493895),FALSE,"도곡",434.059119263063
"87","테라힐스","서울특별시 강남구 선릉로 307",c(127.0523591, 37.49682247),FALSE,"도곡",698.113491553773
"88","동부센트레빌","서울특별시 강남구 선릉로 423",c(127.0494903, 37.50253225),TRUE,"선릉",224.195552026208
"89","호산프라자","서울특별시 강남구 선릉로 604",c(127.0439677, 37.51098293),FALSE,"선릉",834.866997988747
"90","삼성동브라운스톤레전드","서울특별시 강남구 선릉로 660",c(127.0423132, 37.51549424),FALSE,"언주",1182.57574349638
"91","현대아파트","서울특별시 강남구 선릉로 748",c(127.0405655, 37.52143227),FALSE,"언주",1686.4517511854
"92","미성2차","서울특별시 강남구 압구정로 113",c(127.0190454, 37.52382745),FALSE,"신논현",2207.29323256898
"93","한양8(81동한개동)","서울특별시 강남구 압구정로 403",c(127.0422803, 37.53004873),FALSE,"언주",2644.10031507147
"94","압구정신현대","서울특별시 강남구 압구정로 151",c(127.0243476, 37.52773483),FALSE,"언주",2431.44764794028
"95","현대6,7차","서울특별시 강남구 압구정로 201",c(127.0308728, 37.52977365),FALSE,"언주",2521.9336152765
"96","현대65동(대림아크로빌아파트)","서울특별시 강남구 압구정로 201",c(127.0322259, 37.53145305),FALSE,"언주",2698.59030782752
"97","현대8차(성수현대:91~95동)","서울특별시 강남구 압구정로 309",c(127.0353082, 37.53100685),FALSE,"언주",2647.93690349756
"98","한양4","서울특별시 강남구 압구정로 313",c(127.0368645, 37.5308956),FALSE,"언주",2645.64900902782
"99","한양6","서울특별시 강남구 압구정로 313",c(127.0363687, 37.52968056),FALSE,"언주",2507.05355479872
"100","한양1차(영동한양)","서울특별시 강남구 압구정로 321",c(127.0387541, 37.53028711),FALSE,"언주",2600.57642987574
"101","한양3","서울특별시 강남구 압구정로 321",c(127.0380657, 37.52917487),FALSE,"언주",2468.89597729815
"102","한양2","서울특별시 강남구 압구정로 347",c(127.0405094, 37.52980376),FALSE,"언주",2578.17066620874
"103","한양5","서울특별시 강남구 압구정로 401",c(127.0421303, 37.52909823),FALSE,"언주",2538.9878129582
"104","에스케이허브젠","서울특별시 강남구 역삼로 109",c(127.0310043, 37.49368208),FALSE,"강남",565.265838703549
"105","브라운스톤역삼","서울특별시 강남구 역삼로 171",c(127.0378819, 37.4956543),FALSE,"역삼",570.939831595534
"106","명인갤러리2차","서울특별시 강남구 역삼로 237",c(127.042351, 37.49761111),FALSE,"역삼",622.593683300958
"107","세방하이빌1","서울특별시 강남구 역삼로 240",c(127.0428039, 37.49735097),FALSE,"역삼",671.860445993713
"108","세방하이빌2","서울특별시 강남구 역삼로 240-1",c(127.0429753, 37.49702534),FALSE,"역삼",704.678356443492
"109","개나리래미안","서울특별시 강남구 역삼로 306",c(127.0464194, 37.49863285),FALSE,"선릉",644.247774153582
"110","역삼 I'PARK","서울특별시 강남구 역삼로 307",c(127.0466544, 37.49958974),FALSE,"선릉",536.009564202024
"111","역삼센트럴2차아이파크","서울특별시 강남구 역삼로 307-1",c(127.0465053, 37.50000649),FALSE,"선릉",495.028846004987
"112","래미안펜타빌","서울특별시 강남구 역삼로 309",c(127.0474279, 37.50059949),FALSE,"선릉",411.988383933067
"113","개나리 푸르지오","서울특별시 강남구 역삼로 314",c(127.0499421, 37.49970789),FALSE,"선릉",529.339409186687
"114","개나리SK뷰","서울특별시 강남구 역삼로 315-1",c(127.0499, 37.50138807),FALSE,"선릉",353.482849892902
"115","아티스톤대치","서울특별시 강남구 역삼로 409",c(127.0517566, 37.50112344),FALSE,"선릉",470.410500275557
"116","풍림아이원1차","서울특별시 강남구 역삼로 436",c(127.0548211, 37.50163765),FALSE,"선릉",654.717195250713
"117","신성미소시티","서울특별시 강남구 역삼로 451",c(127.0564266, 37.50259865),FALSE,"선릉",750.977669831351
"118","대치동더블유타워","서울특별시 강남구 역삼로 555",c(127.0633748, 37.50500638),FALSE,"삼성",425.104425931678
"119","샘터마을","서울특별시 강남구 일원로 120",c(127.0825655, 37.4843333),FALSE,"학여울",1741.8165423238
"120","가람","서울특별시 강남구 일원로 127",c(127.0854504, 37.48252346),FALSE,"학여울",2057.99289430296
"121","현대타워(13층-27층)","서울특별시 강남구 테헤란로 423",c(127.0530357, 37.50621372),FALSE,"선릉",480.891113262036
"122","테헤란로대우아이빌(891-6)","서울특별시 강남구 테헤란로 428",c(127.0541777, 37.50570274),FALSE,"선릉",553.454950770497
"123","마일스디오빌","서울특별시 강남구 학동로 165",c(127.0289783, 37.51386523),FALSE,"언주",856.557239868722
"124","논현파라곤","서울특별시 강남구 학동로 338",c(127.040439, 37.51649284),FALSE,"언주",1181.87360971972
"125","청담래미안","서울특별시 강남구 학동로 405",c(127.0427537, 37.51791548),FALSE,"언주",1423.23785680863
"126","삼성월드타워","서울특별시 강남구 학동로 408",c(127.0440825, 37.51747307),FALSE,"언주",1451.90029302772
"127","청담우방아파트","서울특별시 강남구 학동로 409",c(127.043919, 37.51811174),FALSE,"언주",1499.75383815202
"128","삼성동씨엘케이","서울특별시 강남구 학동로 410",c(127.044387, 37.51746436),FALSE,"언주",1467.93005634626
"129","석탑아파트101동","서울특별시 강남구 학동로 412",c(127.044965, 37.51741544),FALSE,"선릉",1490.28037181203
"130","푸른솔아파트1동","서울특별시 강남구 학동로 420",c(127.0460196, 37.51782069),FALSE,"선릉",1520.13988181768
"131","삼성동롯데아파트","서울특별시 강남구 학동로 432",c(127.0486913, 37.5177112),FALSE,"선릉",1496.73677464511
